column_name,item_label,mapping
values&motivation_2_6,I engage in religious customs because everybody in my surrounding does,"{1: ""Strongly Agree"", 2: ""Agree"", 3: ""Neutral"", 4: ""Somewhat Disagree"", 5: ""Not At All""}"
values&motivation_2_7,"When it comes to religion, I try to behave as my family expects me to","{1: ""Strongly Agree"", 2: ""Agree"", 3: ""Neutral"", 4: ""Somewhat Disagree"", 5: ""Not At All""}"
values&motivation_2_8,"When it comes to religion, I try to act the way persons whom I care about expect me to","{1: ""Strongly Agree"", 2: ""Agree"", 3: ""Neutral"", 4: ""Somewhat Disagree"", 5: ""Not At All""}"
doubts_1,"How often have you had doubts about your current religious status that you marked at the beginning of the survey (e.g., practicing Muslim, culturally Muslim, spiritual but not religious, and so on)","{5: ""Never"", 4: ""Once a year"", 3: ""Once a month"", 2: ""Once a week"", 1: ""Daily""}"
doubts_3_existence,Uncertainty over the existence of God,"{0: ""Not Selected"", 1: ""Selected""}"
doubts_3_suffering,The suffering of innocent people,"{0: ""Not Selected"", 1: ""Selected""}"
doubts_3_bad,The bad things that people do in the name of religion,"{0: ""Not Selected"", 1: ""Selected""}"
doubts_3_judgemental,The judgmentalism or narrow-mindedness of religious people,"{0: ""Not Selected"", 1: ""Selected""}"
doubts_3_intolerance,The intolerance that some religious people show toward other faiths,"{0: ""Not Selected"", 1: ""Selected""}"
doubts_3_heaven,Whether or not my non-Muslim friends will go to heaven,"{0: ""Not Selected"", 1: ""Selected""}"
doubts_3_womens_rights,Feeling like Islam is incompatible with women’s rights / gender equality,"{0: ""Not Selected"", 1: ""Selected""}"
doubts_3_lgbtq,Feeling like Islam in incompatible with LGBTQ rights,"{0: ""Not Selected"", 1: ""Selected""}"
doubts_3_science,"Feeling like Islam is incompatible with science, e.g. evolution","{0: ""Not Selected"", 1: ""Selected""}"
doubts_3_quran,Not believing the stories in the Qur’an,"{0: ""Not Selected"", 1: ""Selected""}"
doubts_3_rules_sense,Feeling like Islamic rules and practices don’t make sense in today’s world,"{0: ""Not Selected"", 1: ""Selected""}"
doubts_3_rules_harsh,Feeling like Islamic rules are too harsh,"{0: ""Not Selected"", 1: ""Selected""}"
doubts_3_rules_point,"Not seeing the point in Islamic rituals (prayer, fasting, etc.) or rules (no alcohol, no pork, etc.)","{0: ""Not Selected"", 1: ""Selected""}"
doubts_3_comfortable,I don’t feel at home/comfortable with the Muslims I know,"{0: ""Not Selected"", 1: ""Selected""}"
doubts_19_mother,Mother (1),"{0: ""Not Selected"", 1: ""Selected""}"
doubts_19_father,Father (2),"{0: ""Not Selected"", 1: ""Selected""}"
doubts_19_family_members,Family members (3),"{0: ""Not Selected"", 1: ""Selected""}"
doubts_19_teachers,Teachers (4),"{0: ""Not Selected"", 1: ""Selected""}"
doubts_19_friends,Friends (5),"{0: ""Not Selected"", 1: ""Selected""}"
doubts_19_religious_leaders,Religious leaders etc. (6),"{0: ""Not Selected"", 1: ""Selected""}"
doubts_19_internet_youtube,Internet / Youtube (7),"{0: ""Not Selected"", 1: ""Selected""}"
doubts_19_other,Other (8),"{0: ""Not Selected"", 1: ""Selected""}"
doubts_20_1,I wrestled with attempts to follow my religious beliefs and moral principles.,"{1: ""Not at all"", 2: ""A little bit"", 3: ""Somewhat"", 4: ""Quite a bit"", 5: ""A great""}"
doubts_20_2,I worried that my actions were morally or religiously wrong.,"{1: ""Not at all"", 2: ""A little bit"", 3: ""Somewhat"", 4: ""Quite a bit"", 5: ""A great""}"
doubts_20_3,I felt torn between what I wanted and what I knew was morally right.,"{1: ""Not at all"", 2: ""A little bit"", 3: ""Somewhat"", 4: ""Quite a bit"", 5: ""A great""}"
doubts_20_4,I felt guilty for not living up to my moral standards.,"{1: ""Not at all"", 2: ""A little bit"", 3: ""Somewhat"", 4: ""Quite a bit"", 5: ""A great""}"
doubts_24_1,Praying the daily prayers/salah,"{1: ""Not much"", 2: ""Sometimes"", 3: ""Half the time"", 4: ""Most of the time"", 5: ""Always""}"
doubts_24_2,Fasting during Ramadan,"{1: ""Not much"", 2: ""Sometimes"", 3: ""Half the time"", 4: ""Most of the time"", 5: ""Always""}"
doubts_24_3,Wearing modest clothes,"{1: ""Not much"", 2: ""Sometimes"", 3: ""Half the time"", 4: ""Most of the time"", 5: ""Always""}"
doubts_29_1,Felt as though others were looking down on me because of my religious/spiritual beliefs or practices,"{1: ""None at all"", 2: ""A little"", 3: ""A moderate amount"", 4: ""A lot"", 5: ""A great deal""}"
doubts_29_2,Had conflicts with other people about religious/spiritual matters,"{1: ""None at all"", 2: ""A little"", 3: ""A moderate amount"", 4: ""A lot"", 5: ""A great deal""}"
doubts_29_3,Felt angry at religious institutions and organizations,"{1: ""None at all"", 2: ""A little"", 3: ""A moderate amount"", 4: ""A lot"", 5: ""A great deal""}"
doubts_29_4,Felt frustrated at not having mentors or teachers to talk about my religious struggles,"{1: ""None at all"", 2: ""A little"", 3: ""A moderate amount"", 4: ""A lot"", 5: ""A great deal""}"
doubts_29_5,"Felt hurt, mistreated, or offended by other Muslims","{1: ""None at all"", 2: ""A little"", 3: ""A moderate amount"", 4: ""A lot"", 5: ""A great deal""}"
doubts_29_6,Felt rejected or misunderstood by other Muslims,"{1: ""None at all"", 2: ""A little"", 3: ""A moderate amount"", 4: ""A lot"", 5: ""A great deal""}"
doubts_30_1,Questioned whether religion gives my life meaning/ really matters,"{1: ""None at all"", 2: ""A little"", 3: ""A moderate amount"", 4: ""A lot"", 5: ""A great deal""}"
doubts_30_2,Questioned whether religion in my life will help me really make any difference in the world,"{1: ""None at all"", 2: ""A little"", 3: ""A moderate amount"", 4: ""A lot"", 5: ""A great deal""}"
doubts_30_3,Had concerns about whether religion gives me any ultimate purpose to life or existence,"{1: ""None at all"", 2: ""A little"", 3: ""A moderate amount"", 4: ""A lot"", 5: ""A great deal""}"
doubts_30_4,Struggled to figure out what I really believe about religion or how to practice it,"{1: ""None at all"", 2: ""A little"", 3: ""A moderate amount"", 4: ""A lot"", 5: ""A great deal""}"
character_1_1,"In general, it is easy for me to stay away from fun behavior that is inappropriate/prohibited.","{1: ""Does not describe me"", 2: ""Describes me slightly well"", 3: ""Describes me moderately well"", 4: ""Describes me very well"", 5: ""Describes me extremely well""}"
character_1_2,"The more I try to stop myself from doing something I shouldn't, the more likely I am to do it.","{1: ""Does not describe me"", 2: ""Describes me slightly well"", 3: ""Describes me moderately well"", 4: ""Describes me very well"", 5: ""Describes me extremely well""}"
character_1_3,"I usually have trouble resisting cravings for food, drink, etc.","{1: ""Does not describe me"", 2: ""Describes me slightly well"", 3: ""Describes me moderately well"", 4: ""Describes me very well"", 5: ""Describes me extremely well""}"
character_4_1,I can keep doing something even when I don’t feel like doing it.,"{6: ""Does not describe me"", 7: ""Describes me slightly well"", 8: ""Describes me moderately well"", 9: ""Describes me very well"", 10: ""Describes me extremely well""}"
character_4_2,"If I think of something that needs to be done, I usually do it right away.","{6: ""Does not describe me"", 7: ""Describes me slightly well"", 8: ""Describes me moderately well"", 9: ""Describes me very well"", 10: ""Describes me extremely well""}"
character_4_3,"I do something fun for a while before starting my homework, even when I’m not supposed to.","{6: ""Does not describe me"", 7: ""Describes me slightly well"", 8: ""Describes me moderately well"", 9: ""Describes me very well"", 10: ""Describes me extremely well""}"
character_7_1,Helping other people.,"{1: ""Not important"", 2: ""A little important"", 3: ""Somewhat important"", 4: ""Important"", 5: ""Extremely important""}"
character_7_2,Helping to make the world a better place to live in.,"{1: ""Not important"", 2: ""A little important"", 3: ""Somewhat important"", 4: ""Important"", 5: ""Extremely important""}"
character_7_3,Spend time in community service activities to make life better for other people.,"{1: ""Not important"", 2: ""A little important"", 3: ""Somewhat important"", 4: ""Important"", 5: ""Extremely important""}"
character_7_4,Giving money to make life better for other people.,"{1: ""Not important"", 2: ""A little important"", 3: ""Somewhat important"", 4: ""Important"", 5: ""Extremely important""}"
character_7_5,Helping to reduce hunger and poverty in the world.,"{1: ""Not important"", 2: ""A little important"", 3: ""Somewhat important"", 4: ""Important"", 5: ""Extremely important""}"
character_7_6,Speaking up for fairness (everyone should have what they need),"{1: ""Not important"", 2: ""A little important"", 3: ""Somewhat important"", 4: ""Important"", 5: ""Extremely important""}"
character_7_7,"Doing what I believe is right, even if my friends make fun of me.","{1: ""Not important"", 2: ""A little important"", 3: ""Somewhat important"", 4: ""Important"", 5: ""Extremely important""}"
character_7_8,"Standing up for what I believe, even when it's unpopular to do.","{1: ""Not important"", 2: ""A little important"", 3: ""Somewhat important"", 4: ""Important"", 5: ""Extremely important""}"
character_7_9,Accepting responsibility for my actions when I make a mistake or get into trouble.,"{1: ""Not important"", 2: ""A little important"", 3: ""Somewhat important"", 4: ""Important"", 5: ""Extremely important""}"
character_7_10,Doing my best even when I have to do a job I don't like.,"{1: ""Not important"", 2: ""A little important"", 3: ""Somewhat important"", 4: ""Important"", 5: ""Extremely important""}"
character_7_11,"Telling the truth, even when it's not easy.","{1: ""Not important"", 2: ""A little important"", 3: ""Somewhat important"", 4: ""Important"", 5: ""Extremely important""}"
character_19_1,I am able to wait-out tough times.,"{1: ""Not like me at all"", 2: ""Unlike me"", 3: ""Neutral"", 4: ""Like me"", 5: ""Very much like me""}"
character_19_2,I find it pretty easy to be patient with a difficult life problem or illness.,"{1: ""Not like me at all"", 2: ""Unlike me"", 3: ""Neutral"", 4: ""Like me"", 5: ""Very much like me""}"
character_19_3,I am patient during life hardships.,"{1: ""Not like me at all"", 2: ""Unlike me"", 3: ""Neutral"", 4: ""Like me"", 5: ""Very much like me""}"
character_22_1,I feel good about other Muslim people.,"{1: ""Strongly disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Strongly agree""}"
character_22_2,I am happy that I am a Muslim.,"{1: ""Strongly disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Strongly agree""}"
character_22_3,I am proud to be Muslim.,"{1: ""Strongly disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Strongly agree""}"
character_23_1,"In general, being Muslim is an important part of my self-image.","{1: ""Strongly disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Strongly agree""}"
character_23_2,I have a strong sense of belonging to Muslim people.,"{1: ""Strongly disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Strongly agree""}"
character_23_3,I have a strong attachment to other Muslim people.,"{1: ""Strongly disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Strongly agree""}"
character_23_4,Being Muslim is an important reflection of who I am.,"{1: ""Strongly disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Strongly agree""}"
character_29,Which category best describes your current major?,"{1: ""Natural Science"", 2: ""Engineering"", 3: ""Social Science"", 4: ""Humanities"", 5: ""Business"", 6: ""Fine Arts"", 7: ""Communication"", 8: ""Education"", 9: ""Other""}"
character_30,Which comes closer to your view?,"{1: ""I do not believe in evolution. Humans and other living things have existed in their present form since their creation"", 2: ""I believe in evolution, but not for humans."", 3: ""Humans and other living things have evolved over time"", 4: ""I’m not sure what I believe about evolution""}"
science_3_1,Science produces answers that are always correct,"{1: ""Strongly Disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Don’t Know/Unsure""}"
science_3_2,Science is the only path to truth,"{1: ""Strongly Disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Don’t Know/Unsure""}"
science_3_3,Scientific laws cannot be broken,"{1: ""Strongly Disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Don’t Know/Unsure""}"
science_3_4,It is possible for a miracle to take place,"{1: ""Strongly Disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Don’t Know/Unsure""}"
science_3_5,"When a person dies, they no longer have thoughts, feelings, and awareness","{1: ""Strongly Disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Don’t Know/Unsure""}"
science_3_6,There are some things science will never be able to explain,"{1: ""Strongly Disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Don’t Know/Unsure""}"
science_3_7,Science will be able to explain everything one day,"{1: ""Strongly Disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Don’t Know/Unsure""}"
science_3_8,Science is only able to explain part of reality,"{1: ""Strongly Disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Don’t Know/Unsure""}"
science_3_9,Science changes too much to be completely trustworthy,"{1: ""Strongly Disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Don’t Know/Unsure""}"
science_4,Thinking about your own religious beliefs: does science sometimes conflict with your own religious beliefs or not?,"{2: ""Yes, science conflicts with my own religious beliefs"", 1: ""No, science does not conflict with my own religious beliefs"", 3: ""Don’t know""}"
science_5_1,The origin of the universe and the idea of the Big Bang,"{4: ""Very confident"", 3: ""Fairly confident"", 2: ""Not very confident"", 1: ""Not at all confident""}"
science_5_2,The theory of evolution,"{4: ""Very confident"", 3: ""Fairly confident"", 2: ""Not very confident"", 1: ""Not at all confident""}"
science_5_3,The mind and consciousness,"{4: ""Very confident"", 3: ""Fairly confident"", 2: ""Not very confident"", 1: ""Not at all confident""}"
science_6,"If scientific and religious views appear to conflict, which should you follow?","{1: ""Science"", 2: ""Religion"", 3: ""See if they can both be true but in different ways""}"
relig_literacy_1,How much do you struggle with being a Muslim because you don't know how to do certain things or don’t know what to do?,"{5: ""Never"", 4: ""Sometimes"", 3: ""Half the time"", 2: ""Most of the time"", 1: ""Always""}"
relig_literacy_2,"Are you able to read Arabic texts (the Qur’an, hadith, etc.) with understanding?","{1: ""No"", 2: ""Somewhat"", 3: ""Yes""}"
relig_literacy_3_1,Islamic theology / beliefs,"{2: ""Yes"", 1: ""No"", 3: ""I don’t remember""}"
relig_literacy_3_2,Islamic law / practices,"{2: ""Yes"", 1: ""No"", 3: ""I don’t remember""}"
relig_literacy_3_3,Islamic spirituality,"{2: ""Yes"", 1: ""No"", 3: ""I don’t remember""}"
relig_literacy_4_aqida,Aqida,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_kalam,Kalam,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_ashari,Ashari,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_fiqh,Fiqh,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_madhhab,Madhhab,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_salafi,Salafi,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_halal,Halal,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_haram,Haram,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_makruh,Makruh,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_usul,Usul,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_ijaza,Ijaza,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_sufi,Sufi,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_tasawwuf,Tasawwuf,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_tazkiya,Tazkiya,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_isnad,Isnad,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_sahih,Sahih,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_daif,Daif,"{0: ""Not Selected"", 1: ""Selected""}"
relig_literacy_4_tafsir,Tafsir,"{0: ""Not Selected"", 1: ""Selected""}"
character_40,How interested are you in learning more about your religion?,"{ 4: ""Very Interested"", 3: ""Somewhat Interested"", 2: ""Not very Interested"", 1: ""Not at all Interested"" }"
science_1_1,Science supports Islam,"{ 1: ""Strongly disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Strongly agree"", 8: ""Don’t know"" }"
science_1_2,Science disproves Islam / the Qur’an,"{ 1: ""Strongly disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Strongly agree"", 8: ""Don’t know"" }"
science_1_3,The Qur’an contains scientific miracles,"{ 1: ""Strongly disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Strongly agree"", 8: ""Don’t know"" }"
science_2_1,Islam played an important part in the rise of science,"{ 1: ""Strongly disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Strongly agree"", 8: ""Don’t know"" }"
science_2_2,Science can answer big questions about life and meaning,"{ 1: ""Strongly disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Strongly agree"", 8: ""Don’t know"" }"
science_2_3,Science disproves the idea that humans have free will,"{ 1: ""Strongly disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Strongly agree"", 8: ""Don’t know"" }"
science_2_4,Science is compatible with belief in an afterlife,"{ 1: ""Strongly disagree"", 2: ""Disagree"", 3: ""Somewhat disagree"", 4: ""Neither agree nor disagree"", 5: ""Somewhat agree"", 6: ""Agree"", 7: ""Strongly agree"", 8: ""Don’t know"" }"
